Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
Oh, Whitey! You look terrific, honey! I haven't seen you in ages, just ages! Oh, what did I ever do without you, baby!	喔，Whitey！你看起來棒極了，親愛的！我好久好久沒見到你了，真的好久！喔，沒有你我以前到底是怎麼過的，寶貝！
Why, if it isn't the lovely Sweet Cheeks Marie. You look fantastic your own self, baby. I missed you something fierce.	哎呀，這不是可愛的 Sweet Cheeks Marie 嗎。妳自己也美得很，寶貝。我可想妳想得緊呢。
Whitey, you're just as handsome as I remember you.	Whitey，你還是跟我記憶中一樣英俊。
Why, thank you, sweetheart.	哎呀，謝了，甜心。
Hey! Where do you think you're going, buddy, get away from there!	嘿！你以為你要去哪，老兄，離那裡遠一點！
Hmm, 100% polyester linen.	嗯，百分之百聚酯纖維亞麻布。
The tables are covered with fancy white tablecloths.	桌上鋪著華麗的白色桌布。
While it'd be perfectly in character for Whitey to give the waitress a sly pinch on the buttocks, you don't want to risk getting bounced out of the bar.	雖然對 Whitey 這個角色來說，偷捏女服務生屁股一把完全合情合理，但你不想冒著被趕出酒吧的風險。
You take a look at the waitress. She's a little thinner than your average American woman. At the same time, you get the distinct impression that she's also a little peppier than normal.	你打量了一下女服務生。她比一般美國女性略瘦一些。同時，你也明顯感覺到，她似乎比一般人更有活力一點。
She ignores you. Perhaps she's busy with occupied tables.	她沒理你。也許她正忙著招呼其他桌的客人。
Stop trying to be Sherlock Holmes. There's nothing on the baseboard.	別學 Sherlock Holmes 辦案了。踢腳板上什麼都沒有。
The baseboard is clean and unscuffed. You don't suppose too many rats scurry along that sucker.	踢腳板乾乾淨淨，沒有刮痕。你猜應該沒什麼老鼠會沿著這玩意兒竄來竄去。
Get a life, Sonny.	Sonny，去找點正經事做吧。
You'd really like this carpet, if only it weren't peach.	你其實還蠻喜歡這張地毯的，可惜它是蜜桃色。
Still more of that fancy Art Deco stuff.	還是那些花俏的裝飾藝術風格擺設。
Try your key, hotshot.	拿你的鑰匙試試看吧，老兄。
You tap lightly on the door. You hear muffled groans and snorts.	你輕輕敲了敲門。你聽到裡面傳來悶悶的呻吟聲和鼾聲。
You turn the key, and open your door. Gotta love that "hotel room floral spray" smell!	你轉動鑰匙，打開房門。真是讓人愛不釋手的「飯店房間花香噴霧」味道！
This isn't your room, Bonds. Your key won't work.	Bonds，這不是你的房間。你的鑰匙打不開。
It's the door to room 202.	這是 202 號房的門。
It's a door. On closer inspection, your keenly honed senses reveal that this is room 202 - your room.	這是一扇門。仔細一看，憑著你敏銳的直覺，你發現這是 202 號房——你的房間。
It's room 302.	這是 302 號房。
From inside, you hear a muffled "Huh? Whu? Hey! I'm tryin' to sleep!"	你聽到裡面傳來含糊的聲音：「嗯？什麼？嘿！我正在睡覺耶！」
"SO TAKE OFF!"	「那就滾開啦！」
Boy, some people sure are cranky when they wake up.	哎，有些人一被吵醒脾氣還真差。
Get a clue, Columbo! That won't open doors.	醒醒吧，Columbo！那玩意兒打不開門的。
The button, Bonds, the button.	按鈕，Bonds，是按鈕。
It's the elevator.	這是電梯。
Quit pawing the elevator.	別再亂摸電梯了。
There's a lot of fancy Art Deco stuff over the elevator. You're still trying to decide if you like it.	電梯上方有不少花俏的裝飾藝術風格擺飾。你還在猶豫自己到底喜不喜歡。
Cut it out, Bonds.	夠了，Bonds。
They were elevator lights on the ground floor. What makes you think they'll be any different here?	那些在一樓也不過是電梯燈號。你憑什麼覺得這裡的會不一樣？
The button doesn't respond. Judging by the keyhole next to the elevator, only certain people are allowed access to the Penthouse.	按鈕沒有反應。從電梯旁的鑰匙孔看來，只有特定人士才能進入頂樓套房。
It's the selection of buttons that allows you to choose your destination floor.	這排按鈕讓你選擇要去的樓層。
It doesn't have a switch. The hotel controls it.	這個沒有開關，是飯店統一控制的。
Nice wall fixture. It kind of reminds you of a little alien spaceship.	不錯的壁燈。讓你有點聯想到小小的外星太空船。
Even if you began taking hormone shots, Bonds, you'll never be that tall.	Bonds，就算你開始打荷爾蒙針，也不可能長那麼高。
It's more of that snazzy decorative paneling.	又是那種花俏的裝飾壁板。
This is the second floor hallway of the semi-swank Hotel Delphoria.	這是 Delphoria 飯店二樓走廊，裝潢算是半奢華風格。
This is the third floor hallway of the Hotel Delphoria.	這是 Delphoria 飯店三樓走廊。
ZZZZZZZZZZZZZZZ...	ZZZZZZZZZZZZZZZ……
SNORK..mumble...ZZZZZZZZZZ...	SNORK……喃喃自語……ZZZZZZZZZZ……
Hello, Detective Bonds. I'm Detective Danny Anglin.	你好，Bonds 警探。我是 Danny Anglin 警探。
Glad to see you!	很高興見到你！
Here, Detective Bonds. This is a transmitter. Just put it in your shirt pocket, and we'll be able to hear you and everyone immediately around you. It's one-way, of course, so you won't be able to hear us. That way, we'll be able to track you wherever they might ask you to go after the poker game.	拿去，Bonds 警探。這是一個發報器。把它放進你的襯衫口袋就行了，這樣我們就能聽到你和周圍所有人的對話。當然，這是單向的，所以你聽不到我們的聲音。這樣一來，撲克局結束後，不管他們要你去哪，我們都能追蹤到你。
Thanks, Danny.	謝了，Danny。
And here's another thousand dollars. We don't want you running out of funds in the middle of a poker game.	這裡還有一千塊。我們可不希望你在牌局打到一半就沒錢了。
Great. Maybe I can even finish with a little more than I started.	太好了。說不定我最後還能比一開始多贏一點。
It looks like you're all set. Remember, we'll be there. If you get in trouble, we're right behind you.	看來你都準備好了。記住，我們會在附近。你要是遇上麻煩，我們就在你身後。
That's good to know. Thanks.	知道這個真讓人安心。謝了。
You bet. Good luck, Detective.	沒問題。祝你好運，警探。
You just love the feel of polished hardwood.	你就是喜歡這種拋光硬木的觸感。
It's real hardwood. You're impressed.	這是真材實料的硬木。你印象深刻。
The comforter is soft and heavy.	這條被子又軟又厚重。
The bed looks comfortable.	這張床看起來很舒服。
Nice and thick. It probably doesn't show stains, either.	又厚又扎實。大概也不容易看出污漬。
The carpet is a pleasing shade of dark green. At least, it pleases you because it's not that awful peach stuff.	這張地毯是討喜的深綠色。至少對你來說很討喜，因為它不是那種糟糕的蜜桃色。
As amusing as it would be to present Sgt. Dooley with this little knick-knack, taking it just wouldn't be right.	把這個小玩意兒送給 Dooley 警佐雖然聽起來挺好玩的，但拿走它終究不太妥當。
Besides, it's glued to the table.	再說，它被黏死在桌上了。
There's a statue of a chicken on the nightstand. You get a strong feeling of deja vu...	床頭櫃上有一座雞的雕像。你有種強烈的既視感……
Who is it?	是誰？
Candygram!	糖果快遞！
Say what?!	你說什麼？！
Just kidding, Sonny. Leiutenant Morgan sent me.	開玩笑的啦，Sonny。是 Morgan 中尉派我來的。
Okay, just a second.	好，等一下。
Come in.	請進。
It's a drawer.	這是一個抽屜。
You take the fax from Officer Steele.	你從 Steele 警員手中接過傳真。
It's Jesse Bains, the Death Angel. He looks very familiar...	這是 Jesse Bains，死亡天使。他看起來非常眼熟……
Nice material. Real vinylette or something like that.	材質不錯，應該是仿皮的乙烯基布料之類的東西。
The curtains are a nice color of green, clashing ever-so-lightly with the carpet.	窗簾是好看的綠色，跟地毯的顏色有那麼一點點不搭。
It's already on.	它已經開著了。
Interesting lamp. You decide you like it.	有趣的檯燈。你決定你喜歡它。
Well, I guess I'd better go catch that cab. Maybe I'll see you around, huh, Sonny?	嗯，我想我該去搭那輛計程車了。也許改天再見囉，Sonny？
Count on it, Marie.	一定的，Marie。
Keep your mind on business, Bonds.	把心思放在正事上，Bonds。
Marie looks lovely tonight.	Marie 今晚看起來很美。
Oh, Sonny, I'm worried about you. From what I've heard, these are some bad guys. You'll be careful, won't you?	喔，Sonny，我很擔心你。聽說這些傢伙都不是省油的燈。你會小心的，對吧？
You bet I will, Marie. I wouldn't want to endanger the operation--or my own skin, for that matter.	當然會，Marie。我可不想讓這次行動陷入危險——更不想賠上自己的小命。
Oh, I'm gonna worry about you anyway!	喔，反正我還是會擔心你的！
Thanks for getting me out of jail, Sonny. I really appreciate it.	謝謝你把我從牢裡弄出來，Sonny。我真的很感激。
You're welcome, Marie. You certainly held up your side of the bargain.	不客氣，Marie。妳確實遵守了妳那部分的約定。
There's not a lot I wouldn't do for you, Sonny. You've been so sweet to me.	沒什麼事是我不會為你做的，Sonny。你對我一直這麼好。
You feel a blush coming on.	你感覺自己臉紅了起來。
I guess I should be getting on my way soon.	我想我該準備上路了。
No hidden compartments, spy cameras, or bugs. Not too surprising.	沒有暗格、間諜攝影機，也沒有竊聽器。倒也不怎麼令人意外。
This nightstand doesn't seem to have any drawers. You consider arresting it for indecent exposure.	這個床頭櫃似乎沒有抽屜。你考慮要不要以妨害風化罪把它逮捕。
Try the drawer.	試試那個抽屜。
It's a nighttable. Your keen cop's instincts tell you it will most probably contain a Gideon's Bible, a phone book, and some really dusty stationary.	這是一張床頭櫃。你敏銳的警察直覺告訴你，裡面十之八九放著一本基甸聖經、一本電話簿，還有一些積滿灰塵的信紙。
Just because it looks like a fingerpainting doesn't mean that you get to add to it, Bonds.	就算它看起來像幅指畫，也不代表你可以在上面加點什麼，Bonds。
